Edad,Ano ,Origen,dx
0,2016,Espana,901
1,2016,Espana,85
2,2016,Espana,46
3,2016,Espana,27
4,2016,Espana,36
5,2016,Espana,29
6,2016,Espana,32
7,2016,Espana,22
8,2016,Espana,26
9,2016,Espana,31
10,2016,Espana,25
11,2016,Espana,30
12,2016,Espana,29
13,2016,Espana,27
14,2016,Espana,34
15,2016,Espana,47
16,2016,Espana,53
17,2016,Espana,50
18,2016,Espana,57
19,2016,Espana,83
20,2016,Espana,74
21,2016,Espana,64
22,2016,Espana,89
23,2016,Espana,91
24,2016,Espana,82
25,2016,Espana,92
26,2016,Espana,115
27,2016,Espana,126
28,2016,Espana,109
29,2016,Espana,133
30,2016,Espana,168
31,2016,Espana,160
32,2016,Espana,157
33,2016,Espana,200
34,2016,Espana,243
35,2016,Espana,249
36,2016,Espana,294
37,2016,Espana,329
38,2016,Espana,347
39,2016,Espana,415
40,2016,Espana,495
41,2016,Espana,550
42,2016,Espana,528
43,2016,Espana,626
44,2016,Espana,734
45,2016,Espana,820
46,2016,Espana,850
47,2016,Espana,1018
48,2016,Espana,1250
49,2016,Espana,1264
50,2016,Espana,1472
51,2016,Espana,1679
52,2016,Espana,1892
53,2016,Espana,1985
54,2016,Espana,2088
55,2016,Espana,2214
56,2016,Espana,2466
57,2016,Espana,2648
58,2016,Espana,2747
59,2016,Espana,2818
60,2016,Espana,3007
61,2016,Espana,3134
62,2016,Espana,3129
63,2016,Espana,3566
64,2016,Espana,3701
65,2016,Espana,3853
66,2016,Espana,4074
67,2016,Espana,4479
68,2016,Espana,5136
69,2016,Espana,4765
70,2016,Espana,5285
71,2016,Espana,5897
72,2016,Espana,6192
73,2016,Espana,6303
74,2016,Espana,5881
75,2016,Espana,7226
76,2016,Espana,7421
77,2016,Espana,6782
78,2016,Espana,8390
79,2016,Espana,10598
80,2016,Espana,11661
81,2016,Espana,12574
82,2016,Espana,14125
83,2016,Espana,15452
84,2016,Espana,16088
85,2016,Espana,17110
86,2016,Espana,17099
87,2016,Espana,17199
88,2016,Espana,16665
89,2016,Espana,16470
90,2016,Espana,92891
0,2017,Espana,867
1,2017,Espana,69
2,2017,Espana,31
3,2017,Espana,31
4,2017,Espana,28
5,2017,Espana,25
6,2017,Espana,27
7,2017,Espana,24
8,2017,Espana,35
9,2017,Espana,26
10,2017,Espana,26
11,2017,Espana,22
12,2017,Espana,33
13,2017,Espana,39
14,2017,Espana,51
15,2017,Espana,41
16,2017,Espana,68
17,2017,Espana,61
18,2017,Espana,67
19,2017,Espana,75
20,2017,Espana,84
21,2017,Espana,80
22,2017,Espana,75
23,2017,Espana,100
24,2017,Espana,111
25,2017,Espana,110
26,2017,Espana,107
27,2017,Espana,119
28,2017,Espana,120
29,2017,Espana,129
30,2017,Espana,139
31,2017,Espana,141
32,2017,Espana,165
33,2017,Espana,185
34,2017,Espana,211
35,2017,Espana,237
36,2017,Espana,260
37,2017,Espana,331
38,2017,Espana,391
39,2017,Espana,396
40,2017,Espana,472
